2025-11-18 10:08:23,594 | film_recommender_cg.scorer | INFO | Mystery = 9.0
2025-11-18 10:08:23,597 | film_recommender_cg.scorer | INFO | Music = 4.0
2025-11-18 10:08:23,598 | film_recommender_cg.scorer | INFO | History = 6.0
2025-11-18 10:08:23,600 | film_recommender_cg.scorer | INFO | Undisclosed = 0.0
2025-11-18 10:08:23,602 | film_recommender_cg.scorer | INFO | Fantasy = 5.6
2025-11-18 10:08:23,604 | film_recommender_cg.scorer | INFO | Documentary = 5.6
2025-11-18 10:08:23,612 | film_recommender_cg.scorer | INFO | Animation = 1.7
2025-11-18 10:08:23,613 | film_recommender_cg.scorer | INFO | Western = 2.6
2025-11-18 10:08:23,616 | film_recommender_cg.scorer | INFO | Adventure = 8.4
2025-11-18 10:08:23,618 | film_recommender_cg.scorer | INFO | Comedy = 29.0
2025-11-18 10:08:23,620 | film_recommender_cg.scorer | INFO | Horror = 5.7
2025-11-18 10:08:23,622 | film_recommender_cg.scorer | INFO | Thriller = 18.0
2025-11-18 10:08:23,624 | film_recommender_cg.scorer | INFO | TV Movie = 0.0
2025-11-18 10:08:23,627 | film_recommender_cg.scorer | INFO | Romance = 20.3
2025-11-18 10:08:23,633 | film_recommender_cg.scorer | INFO | Science Fiction = 6.0
2025-11-18 10:08:23,638 | film_recommender_cg.scorer | INFO | Action = 10.8
2025-11-18 10:08:24,898 | film_recommender_cg.scorer | INFO | 'scoring_genre_avg_count_in_top_n_recs_all_users' successfully logged as artifact in W&B.
2025-11-18 10:08:25,819 | film_recommender_cg.scorer | INFO | ### Genre average counts in top 100 recommendations (new users): ###
2025-11-18 10:08:25,821 | film_recommender_cg.scorer | INFO | War = 4.9
2025-11-18 10:08:25,824 | film_recommender_cg.scorer | INFO | Drama = 43.4
2025-11-18 10:08:25,826 | film_recommender_cg.scorer | INFO | Crime = 19.2
2025-11-18 10:08:25,830 | film_recommender_cg.scorer | INFO | Family = 13.9
2025-11-18 10:08:25,833 | film_recommender_cg.scorer | INFO | Foreign = 0.0
2025-11-18 10:08:25,836 | film_recommender_cg.scorer | INFO | Mystery = 8.9
2025-11-18 10:08:25,841 | film_recommender_cg.scorer | INFO | Music = 1.0
2025-11-18 10:08:25,844 | film_recommender_cg.scorer | INFO | History = 3.9
2025-11-18 10:08:25,846 | film_recommender_cg.scorer | INFO | Undisclosed = 0.0
2025-11-18 10:08:25,848 | film_recommender_cg.scorer | INFO | Fantasy = 18.0
2025-11-18 10:08:25,851 | film_recommender_cg.scorer | INFO | Documentary = 0.0
2025-11-18 10:08:25,855 | film_recommender_cg.scorer | INFO | Animation = 6.9
2025-11-18 10:08:25,859 | film_recommender_cg.scorer | INFO | Western = 1.0
2025-11-18 10:08:25,860 | film_recommender_cg.scorer | INFO | Adventure = 29.6
2025-11-18 10:08:25,864 | film_recommender_cg.scorer | INFO | Comedy = 25.0
2025-11-18 10:08:25,869 | film_recommender_cg.scorer | INFO | Horror = 4.0
2025-11-18 10:08:25,874 | film_recommender_cg.scorer | INFO | Thriller = 27.7
2025-11-18 10:08:25,876 | film_recommender_cg.scorer | INFO | TV Movie = 0.0
2025-11-18 10:08:25,880 | film_recommender_cg.scorer | INFO | Romance = 14.6
2025-11-18 10:08:25,882 | film_recommender_cg.scorer | INFO | Science Fiction = 20.6
2025-11-18 10:08:25,886 | film_recommender_cg.scorer | INFO | Action = 30.6
2025-11-18 10:08:27,077 | film_recommender_cg.scorer | INFO | 'scoring_genre_avg_count_in_top_n_recs_new_users' successfully logged as artifact in W&B.
2025-11-18 10:08:33,309 | film_recommender_cg.scorer | INFO | ### Genre average counts in top 100 recommendations (existing users): ###
2025-11-18 10:08:33,312 | film_recommender_cg.scorer | INFO | War = 9.2
2025-11-18 10:08:33,314 | film_recommender_cg.scorer | INFO | Drama = 70.5
2025-11-18 10:08:33,316 | film_recommender_cg.scorer | INFO | Crime = 12.2
2025-11-18 10:08:33,318 | film_recommender_cg.scorer | INFO | Family = 3.1
2025-11-18 10:08:33,320 | film_recommender_cg.scorer | INFO | Foreign = 2.7
2025-11-18 10:08:33,322 | film_recommender_cg.scorer | INFO | Mystery = 9.0
2025-11-18 10:08:33,324 | film_recommender_cg.scorer | INFO | Music = 4.5
2025-11-18 10:08:33,328 | film_recommender_cg.scorer | INFO | History = 6.3
2025-11-18 10:08:33,329 | film_recommender_cg.scorer | INFO | Undisclosed = 0.1
2025-11-18 10:08:33,331 | film_recommender_cg.scorer | INFO | Fantasy = 3.9
2025-11-18 10:08:33,333 | film_recommender_cg.scorer | INFO | Documentary = 6.4
2025-11-18 10:08:33,336 | film_recommender_cg.scorer | INFO | Animation = 0.9
2025-11-18 10:08:33,339 | film_recommender_cg.scorer | INFO | Western = 2.9
2025-11-18 10:08:33,341 | film_recommender_cg.scorer | INFO | Adventure = 5.4
2025-11-18 10:08:33,343 | film_recommender_cg.scorer | INFO | Comedy = 29.6
2025-11-18 10:08:33,345 | film_recommender_cg.scorer | INFO | Horror = 6.0
2025-11-18 10:08:33,348 | film_recommender_cg.scorer | INFO | Thriller = 16.6
2025-11-18 10:08:33,350 | film_recommender_cg.scorer | INFO | TV Movie = 0.0
2025-11-18 10:08:33,352 | film_recommender_cg.scorer | INFO | Romance = 21.2
2025-11-18 10:08:33,354 | film_recommender_cg.scorer | INFO | Science Fiction = 3.9
2025-11-18 10:08:33,355 | film_recommender_cg.scorer | INFO | Action = 8.0
2025-11-18 10:08:34,797 | film_recommender_cg.scorer | INFO | 'scoring_genre_avg_count_in_top_n_recs_existing_users' successfully logged as artifact in W&B.
2025-11-18 10:08:34,821 | film_recommender_cg.scorer | INFO | Evaluating model performance on new (simulated) data...
2025-11-18 10:08:34,830 | film_recommender_cg.scorer | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('All' users): ###
2025-11-18 10:08:34,833 | film_recommender_cg.scorer | INFO | Overall rmse = 0.54
2025-11-18 10:08:34,839 | film_recommender_cg.scorer | INFO | Overall r-squared = 0.268
2025-11-18 10:08:34,849 | film_recommender_cg.scorer | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('All' users): ###
2025-11-18 10:08:34,868 | film_recommender_cg.scorer | INFO | 'War' rmse = 0.531
2025-11-18 10:08:34,871 | film_recommender_cg.scorer | INFO | 'War' r-squared = 0.272
2025-11-18 10:08:34,902 | film_recommender_cg.scorer | INFO | 'Drama' rmse = 0.534
2025-11-18 10:08:34,908 | film_recommender_cg.scorer | INFO | 'Drama' r-squared = 0.287
2025-11-18 10:08:34,923 | film_recommender_cg.scorer | INFO | 'Crime' rmse = 0.55
2025-11-18 10:08:34,929 | film_recommender_cg.scorer | INFO | 'Crime' r-squared = 0.267
2025-11-18 10:08:34,948 | film_recommender_cg.scorer | INFO | 'Family' rmse = 0.541
2025-11-18 10:08:34,953 | film_recommender_cg.scorer | INFO | 'Family' r-squared = 0.214
2025-11-18 10:08:34,968 | film_recommender_cg.scorer | INFO | 'Foreign' rmse = 0.546
2025-11-18 10:08:34,972 | film_recommender_cg.scorer | INFO | 'Foreign' r-squared = 0.281
2025-11-18 10:08:34,987 | film_recommender_cg.scorer | INFO | 'Mystery' rmse = 0.533
2025-11-18 10:08:34,991 | film_recommender_cg.scorer | INFO | 'Mystery' r-squared = 0.292
2025-11-18 10:08:35,009 | film_recommender_cg.scorer | INFO | 'Music' rmse = 0.527
2025-11-18 10:08:35,013 | film_recommender_cg.scorer | INFO | 'Music' r-squared = 0.354
2025-11-18 10:08:35,028 | film_recommender_cg.scorer | INFO | 'History' rmse = 0.525
2025-11-18 10:08:35,032 | film_recommender_cg.scorer | INFO | 'History' r-squared = 0.256
2025-11-18 10:08:35,042 | film_recommender_cg.scorer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-18 10:08:35,047 | film_recommender_cg.scorer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-18 10:08:35,063 | film_recommender_cg.scorer | INFO | 'Fantasy' rmse = 0.549
2025-11-18 10:08:35,068 | film_recommender_cg.scorer | INFO | 'Fantasy' r-squared = 0.246
2025-11-18 10:08:35,087 | film_recommender_cg.scorer | INFO | 'Documentary' rmse = 0.52
2025-11-18 10:08:35,092 | film_recommender_cg.scorer | INFO | 'Documentary' r-squared = 0.312
2025-11-18 10:08:35,106 | film_recommender_cg.scorer | INFO | 'Animation' rmse = 0.549
2025-11-18 10:08:35,110 | film_recommender_cg.scorer | INFO | 'Animation' r-squared = -0.033
2025-11-18 10:08:35,124 | film_recommender_cg.scorer | INFO | 'Western' rmse = 0.528
2025-11-18 10:08:35,129 | film_recommender_cg.scorer | INFO | 'Western' r-squared = 0.247
2025-11-18 10:08:35,144 | film_recommender_cg.scorer | INFO | 'Adventure' rmse = 0.593
2025-11-18 10:08:35,148 | film_recommender_cg.scorer | INFO | 'Adventure' r-squared = 0.075
2025-11-18 10:08:35,169 | film_recommender_cg.scorer | INFO | 'Comedy' rmse = 0.535
2025-11-18 10:08:35,173 | film_recommender_cg.scorer | INFO | 'Comedy' r-squared = 0.274
2025-11-18 10:08:35,190 | film_recommender_cg.scorer | INFO | 'Horror' rmse = 0.529
2025-11-18 10:08:35,197 | film_recommender_cg.scorer | INFO | 'Horror' r-squared = 0.293
2025-11-18 10:08:35,211 | film_recommender_cg.scorer | INFO | 'Thriller' rmse = 0.562
2025-11-18 10:08:35,219 | film_recommender_cg.scorer | INFO | 'Thriller' r-squared = 0.241
2025-11-18 10:08:35,230 | film_recommender_cg.scorer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-18 10:08:35,235 | film_recommender_cg.scorer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-18 10:08:35,253 | film_recommender_cg.scorer | INFO | 'Romance' rmse = 0.536
2025-11-18 10:08:35,257 | film_recommender_cg.scorer | INFO | 'Romance' r-squared = 0.277
2025-11-18 10:08:35,275 | film_recommender_cg.scorer | INFO | 'Science Fiction' rmse = 0.629
2025-11-18 10:08:35,279 | film_recommender_cg.scorer | INFO | 'Science Fiction' r-squared = -0.091
2025-11-18 10:08:35,299 | film_recommender_cg.scorer | INFO | 'Action' rmse = 0.66
2025-11-18 10:08:35,303 | film_recommender_cg.scorer | INFO | 'Action' r-squared = -0.21
2025-11-18 10:08:37,046 | film_recommender_cg.scorer | INFO | 'scoring_performance_metrics_all_users' successfully logged as artifact in W&B.
2025-11-18 10:08:37,051 | film_recommender_cg.scorer | INFO | Evaluation complete!
2025-11-18 10:08:37,053 | film_recommender_cg.scorer | INFO | Evaluating model performance on new (simulated) data...
2025-11-18 10:08:37,063 | film_recommender_cg.scorer | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('New' users): ###
2025-11-18 10:08:37,072 | film_recommender_cg.scorer | INFO | Overall rmse = 0.572
2025-11-18 10:08:37,077 | film_recommender_cg.scorer | INFO | Overall r-squared = 0.073
2025-11-18 10:08:37,086 | film_recommender_cg.scorer | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('New' users): ###
2025-11-18 10:08:37,096 | film_recommender_cg.scorer | INFO | 'War' rmse = 0.527
2025-11-18 10:08:37,100 | film_recommender_cg.scorer | INFO | 'War' r-squared = 0.081
2025-11-18 10:08:37,111 | film_recommender_cg.scorer | INFO | 'Drama' rmse = 0.518
2025-11-18 10:08:37,117 | film_recommender_cg.scorer | INFO | 'Drama' r-squared = 0.104
2025-11-18 10:08:37,130 | film_recommender_cg.scorer | INFO | 'Crime' rmse = 0.492
2025-11-18 10:08:37,134 | film_recommender_cg.scorer | INFO | 'Crime' r-squared = 0.107
2025-11-18 10:08:37,144 | film_recommender_cg.scorer | INFO | 'Family' rmse = 0.559
2025-11-18 10:08:37,147 | film_recommender_cg.scorer | INFO | 'Family' r-squared = -0.022
2025-11-18 10:08:37,154 | film_recommender_cg.scorer | INFO | 'Foreign' rmse = Insufficient Data
2025-11-18 10:08:37,157 | film_recommender_cg.scorer | INFO | 'Foreign' r-squared = Insufficient Data
2025-11-18 10:08:37,170 | film_recommender_cg.scorer | INFO | 'Mystery' rmse = 0.569
2025-11-18 10:08:37,175 | film_recommender_cg.scorer | INFO | 'Mystery' r-squared = 0.045
2025-11-18 10:08:37,183 | film_recommender_cg.scorer | INFO | 'Music' rmse = Insufficient Data
2025-11-18 10:08:37,187 | film_recommender_cg.scorer | INFO | 'Music' r-squared = Insufficient Data
2025-11-18 10:08:37,196 | film_recommender_cg.scorer | INFO | 'History' rmse = 0.525
2025-11-18 10:08:37,201 | film_recommender_cg.scorer | INFO | 'History' r-squared = 0.077
2025-11-18 10:08:37,208 | film_recommender_cg.scorer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-18 10:08:37,213 | film_recommender_cg.scorer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-18 10:08:37,223 | film_recommender_cg.scorer | INFO | 'Fantasy' rmse = 0.58
2025-11-18 10:08:37,228 | film_recommender_cg.scorer | INFO | 'Fantasy' r-squared = 0.031
2025-11-18 10:08:37,236 | film_recommender_cg.scorer | INFO | 'Documentary' rmse = Insufficient Data
2025-11-18 10:08:37,240 | film_recommender_cg.scorer | INFO | 'Documentary' r-squared = Insufficient Data
2025-11-18 10:08:37,252 | film_recommender_cg.scorer | INFO | 'Animation' rmse = 0.529
2025-11-18 10:08:37,255 | film_recommender_cg.scorer | INFO | 'Animation' r-squared = -0.035
2025-11-18 10:08:37,263 | film_recommender_cg.scorer | INFO | 'Western' rmse = Insufficient Data
2025-11-18 10:08:37,270 | film_recommender_cg.scorer | INFO | 'Western' r-squared = Insufficient Data
2025-11-18 10:08:37,282 | film_recommender_cg.scorer | INFO | 'Adventure' rmse = 0.639
2025-11-18 10:08:37,287 | film_recommender_cg.scorer | INFO | 'Adventure' r-squared = -0.285
2025-11-18 10:08:37,300 | film_recommender_cg.scorer | INFO | 'Comedy' rmse = 0.549
2025-11-18 10:08:37,304 | film_recommender_cg.scorer | INFO | 'Comedy' r-squared = 0.03
2025-11-18 10:08:37,310 | film_recommender_cg.scorer | INFO | 'Horror' rmse = Insufficient Data
2025-11-18 10:08:37,315 | film_recommender_cg.scorer | INFO | 'Horror' r-squared = Insufficient Data
2025-11-18 10:08:37,326 | film_recommender_cg.scorer | INFO | 'Thriller' rmse = 0.571
2025-11-18 10:08:37,332 | film_recommender_cg.scorer | INFO | 'Thriller' r-squared = 0.136
2025-11-18 10:08:37,338 | film_recommender_cg.scorer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-18 10:08:37,342 | film_recommender_cg.scorer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-18 10:08:37,349 | film_recommender_cg.scorer | INFO | 'Romance' rmse = 0.515
2025-11-18 10:08:37,357 | film_recommender_cg.scorer | INFO | 'Romance' r-squared = -0.049
2025-11-18 10:08:37,368 | film_recommender_cg.scorer | INFO | 'Science Fiction' rmse = 0.661
2025-11-18 10:08:37,371 | film_recommender_cg.scorer | INFO | 'Science Fiction' r-squared = -0.342
2025-11-18 10:08:37,394 | film_recommender_cg.scorer | INFO | 'Action' rmse = 0.669
2025-11-18 10:08:37,398 | film_recommender_cg.scorer | INFO | 'Action' r-squared = -0.402
2025-11-18 10:08:38,571 | film_recommender_cg.scorer | INFO | 'scoring_performance_metrics_new_users' successfully logged as artifact in W&B.
2025-11-18 10:08:38,575 | film_recommender_cg.scorer | INFO | Evaluation complete!
2025-11-18 10:08:38,578 | film_recommender_cg.scorer | INFO | Evaluating model performance on new (simulated) data...
2025-11-18 10:08:38,586 | film_recommender_cg.scorer | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('Existing' users): ###
2025-11-18 10:08:38,590 | film_recommender_cg.scorer | INFO | Overall rmse = 0.535
2025-11-18 10:08:38,597 | film_recommender_cg.scorer | INFO | Overall r-squared = 0.291
2025-11-18 10:08:38,609 | film_recommender_cg.scorer | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('Existing' users): ###
2025-11-18 10:08:38,641 | film_recommender_cg.scorer | INFO | 'War' rmse = 0.531
2025-11-18 10:08:38,648 | film_recommender_cg.scorer | INFO | 'War' r-squared = 0.285
2025-11-18 10:08:38,672 | film_recommender_cg.scorer | INFO | 'Drama' rmse = 0.536
2025-11-18 10:08:38,676 | film_recommender_cg.scorer | INFO | 'Drama' r-squared = 0.292
2025-11-18 10:08:38,711 | film_recommender_cg.scorer | INFO | 'Crime' rmse = 0.568
2025-11-18 10:08:38,714 | film_recommender_cg.scorer | INFO | 'Crime' r-squared = 0.235
2025-11-18 10:08:38,744 | film_recommender_cg.scorer | INFO | 'Family' rmse = 0.534
2025-11-18 10:08:38,748 | film_recommender_cg.scorer | INFO | 'Family' r-squared = 0.275
