2025-11-15 09:19:42,501 | film_recommender_cg.scorer | INFO | Horror = 4.0
2025-11-15 09:19:42,504 | film_recommender_cg.scorer | INFO | Adventure = 29.6
2025-11-15 09:19:42,506 | film_recommender_cg.scorer | INFO | Science Fiction = 20.6
2025-11-15 09:19:42,511 | film_recommender_cg.scorer | INFO | Music = 1.0
2025-11-15 09:19:42,514 | film_recommender_cg.scorer | INFO | Documentary = 0.0
2025-11-15 09:19:42,517 | film_recommender_cg.scorer | INFO | Foreign = 0.0
2025-11-15 09:19:43,692 | film_recommender_cg.scorer | INFO | 'scoring_genre_avg_count_in_top_n_recs_new_users' successfully logged as artifact in W&B.
2025-11-15 09:19:50,058 | film_recommender_cg.scorer | INFO | ### Genre average counts in top 100 recommendations (existing users): ###
2025-11-15 09:19:50,061 | film_recommender_cg.scorer | INFO | Drama = 70.5
2025-11-15 09:19:50,063 | film_recommender_cg.scorer | INFO | Fantasy = 3.9
2025-11-15 09:19:50,065 | film_recommender_cg.scorer | INFO | Animation = 0.9
2025-11-15 09:19:50,066 | film_recommender_cg.scorer | INFO | Thriller = 16.6
2025-11-15 09:19:50,069 | film_recommender_cg.scorer | INFO | TV Movie = 0.0
2025-11-15 09:19:50,071 | film_recommender_cg.scorer | INFO | War = 9.2
2025-11-15 09:19:50,074 | film_recommender_cg.scorer | INFO | Family = 3.1
2025-11-15 09:19:50,077 | film_recommender_cg.scorer | INFO | Action = 8.0
2025-11-15 09:19:50,081 | film_recommender_cg.scorer | INFO | Western = 2.9
2025-11-15 09:19:50,083 | film_recommender_cg.scorer | INFO | History = 6.3
2025-11-15 09:19:50,085 | film_recommender_cg.scorer | INFO | Romance = 21.2
2025-11-15 09:19:50,087 | film_recommender_cg.scorer | INFO | Undisclosed = 0.1
2025-11-15 09:19:50,089 | film_recommender_cg.scorer | INFO | Mystery = 9.0
2025-11-15 09:19:50,094 | film_recommender_cg.scorer | INFO | Comedy = 29.6
2025-11-15 09:19:50,096 | film_recommender_cg.scorer | INFO | Crime = 12.2
2025-11-15 09:19:50,100 | film_recommender_cg.scorer | INFO | Horror = 6.0
2025-11-15 09:19:50,106 | film_recommender_cg.scorer | INFO | Adventure = 5.4
2025-11-15 09:19:50,108 | film_recommender_cg.scorer | INFO | Science Fiction = 3.9
2025-11-15 09:19:50,112 | film_recommender_cg.scorer | INFO | Music = 4.5
2025-11-15 09:19:50,114 | film_recommender_cg.scorer | INFO | Documentary = 6.4
2025-11-15 09:19:50,116 | film_recommender_cg.scorer | INFO | Foreign = 2.7
2025-11-15 09:19:51,407 | film_recommender_cg.scorer | INFO | 'scoring_genre_avg_count_in_top_n_recs_existing_users' successfully logged as artifact in W&B.
2025-11-15 09:19:51,852 | film_recommender_cg.scorer | INFO | ### Coverage for scoring session ('All' users): 50.04% ###
2025-11-15 09:19:53,111 | film_recommender_cg.scorer | INFO | 'scoring_coverage_all_users' successfully logged as artifact in W&B.
2025-11-15 09:19:53,118 | film_recommender_cg.scorer | INFO | ### Coverage for scoring session ('New' users): 3.02% ###
2025-11-15 09:19:54,192 | film_recommender_cg.scorer | INFO | 'scoring_coverage_new_users' successfully logged as artifact in W&B.
2025-11-15 09:19:54,273 | film_recommender_cg.scorer | INFO | ### Coverage for scoring session ('Existing' users): 48.38% ###
2025-11-15 09:19:55,393 | film_recommender_cg.scorer | INFO | 'scoring_coverage_existing_users' successfully logged as artifact in W&B.
2025-11-15 09:19:58,815 | film_recommender_cg.scorer | INFO | ### Mean diversity score for scoring session ('All'): 0.98 ###
2025-11-15 09:20:00,451 | film_recommender_cg.scorer | INFO | 'scoring_avg_diversity_score_all_users' successfully logged as artifact in W&B.
2025-11-15 09:20:01,194 | film_recommender_cg.scorer | INFO | ### Mean diversity score for scoring session ('New'): 0.99 ###
2025-11-15 09:20:02,948 | film_recommender_cg.scorer | INFO | 'scoring_avg_diversity_score_new_users' successfully logged as artifact in W&B.
2025-11-15 09:20:05,655 | film_recommender_cg.scorer | INFO | ### Mean diversity score for scoring session ('Existing'): 0.98 ###
2025-11-15 09:20:07,038 | film_recommender_cg.scorer | INFO | 'scoring_avg_diversity_score_existing_users' successfully logged as artifact in W&B.
2025-11-15 09:20:07,533 | film_recommender_cg.scorer | INFO | ### Average personalization score ('All'): 0.738 ###
2025-11-15 09:20:08,221 | film_recommender_cg.scorer | INFO | R² for Personalization vs. Films Rated: 0.004
2025-11-15 09:20:08,230 | film_recommender_cg.scorer | INFO | Pearson correlation for Personalization vs. Films Rated: 0.059
2025-11-15 09:20:09,383 | film_recommender_cg.scorer | INFO | 'scoring_avg_personalization_score_all_users' successfully logged as artifact in W&B.
2025-11-15 09:20:09,401 | film_recommender_cg.scorer | INFO | ### Average personalization score ('New'): 0.013 ###
2025-11-15 09:20:09,934 | film_recommender_cg.scorer | INFO | R² for Personalization vs. Films Rated: 0.237
2025-11-15 09:20:09,938 | film_recommender_cg.scorer | INFO | Pearson correlation for Personalization vs. Films Rated: 0.486
2025-11-15 09:20:11,568 | film_recommender_cg.scorer | INFO | 'scoring_avg_personalization_score_new_users' successfully logged as artifact in W&B.
