2025-11-14 11:43:23,397 | film_recommender_cg.scorer | INFO | Comedy = 25.0
2025-11-14 11:43:23,401 | film_recommender_cg.scorer | INFO | Foreign = 0.0
2025-11-14 11:43:23,413 | film_recommender_cg.scorer | INFO | Fantasy = 18.0
2025-11-14 11:43:23,417 | film_recommender_cg.scorer | INFO | Horror = 4.0
2025-11-14 11:43:23,420 | film_recommender_cg.scorer | INFO | Crime = 19.2
2025-11-14 11:43:23,435 | film_recommender_cg.scorer | INFO | Thriller = 27.7
2025-11-14 11:43:24,753 | film_recommender_cg.scorer | INFO | 'scoring_genre_avg_count_in_top_n_recs_new_users' successfully logged as artifact in W&B.
2025-11-14 11:43:31,283 | film_recommender_cg.scorer | INFO | ### Genre average counts in top 100 recommendations (existing users): ###
2025-11-14 11:43:31,285 | film_recommender_cg.scorer | INFO | Animation = 1.1
2025-11-14 11:43:31,287 | film_recommender_cg.scorer | INFO | Action = 9.4
2025-11-14 11:43:31,290 | film_recommender_cg.scorer | INFO | Western = 3.7
2025-11-14 11:43:31,292 | film_recommender_cg.scorer | INFO | Family = 2.5
2025-11-14 11:43:31,294 | film_recommender_cg.scorer | INFO | Documentary = 4.5
2025-11-14 11:43:31,296 | film_recommender_cg.scorer | INFO | Music = 4.2
2025-11-14 11:43:31,298 | film_recommender_cg.scorer | INFO | Science Fiction = 4.3
2025-11-14 11:43:31,300 | film_recommender_cg.scorer | INFO | War = 10.3
2025-11-14 11:43:31,302 | film_recommender_cg.scorer | INFO | Romance = 19.6
2025-11-14 11:43:31,305 | film_recommender_cg.scorer | INFO | Undisclosed = 0.1
2025-11-14 11:43:31,309 | film_recommender_cg.scorer | INFO | Drama = 72.5
2025-11-14 11:43:31,311 | film_recommender_cg.scorer | INFO | Adventure = 6.4
2025-11-14 11:43:31,316 | film_recommender_cg.scorer | INFO | Mystery = 8.9
2025-11-14 11:43:31,318 | film_recommender_cg.scorer | INFO | History = 6.4
2025-11-14 11:43:31,323 | film_recommender_cg.scorer | INFO | TV Movie = 0.0
2025-11-14 11:43:31,325 | film_recommender_cg.scorer | INFO | Comedy = 28.5
2025-11-14 11:43:31,326 | film_recommender_cg.scorer | INFO | Foreign = 2.5
2025-11-14 11:43:31,329 | film_recommender_cg.scorer | INFO | Fantasy = 3.7
2025-11-14 11:43:31,331 | film_recommender_cg.scorer | INFO | Horror = 4.9
2025-11-14 11:43:31,333 | film_recommender_cg.scorer | INFO | Crime = 12.5
2025-11-14 11:43:31,335 | film_recommender_cg.scorer | INFO | Thriller = 17.8
2025-11-14 11:43:32,869 | film_recommender_cg.scorer | INFO | 'scoring_genre_avg_count_in_top_n_recs_existing_users' successfully logged as artifact in W&B.
2025-11-14 11:43:33,020 | film_recommender_cg.scorer | INFO | ### Coverage for scoring session ('All' users): 49.94% ###
2025-11-14 11:43:34,229 | film_recommender_cg.scorer | INFO | 'scoring_coverage_all_users' successfully logged as artifact in W&B.
2025-11-14 11:43:34,237 | film_recommender_cg.scorer | INFO | ### Coverage for scoring session ('New' users): 3.02% ###
2025-11-14 11:43:35,388 | film_recommender_cg.scorer | INFO | 'scoring_coverage_new_users' successfully logged as artifact in W&B.
2025-11-14 11:43:35,470 | film_recommender_cg.scorer | INFO | ### Coverage for scoring session ('Existing' users): 48.50% ###
2025-11-14 11:43:36,677 | film_recommender_cg.scorer | INFO | 'scoring_coverage_existing_users' successfully logged as artifact in W&B.
2025-11-14 11:43:39,042 | film_recommender_cg.scorer | INFO | ### Mean diversity score for scoring session ('All'): 0.98 ###
2025-11-14 11:43:40,665 | film_recommender_cg.scorer | INFO | 'scoring_avg_diversity_score_all_users' successfully logged as artifact in W&B.
2025-11-14 11:43:41,549 | film_recommender_cg.scorer | INFO | ### Mean diversity score for scoring session ('New'): 0.98 ###
2025-11-14 11:43:42,909 | film_recommender_cg.scorer | INFO | 'scoring_avg_diversity_score_new_users' successfully logged as artifact in W&B.
2025-11-14 11:43:45,209 | film_recommender_cg.scorer | INFO | ### Mean diversity score for scoring session ('Existing'): 0.98 ###
2025-11-14 11:43:46,859 | film_recommender_cg.scorer | INFO | 'scoring_avg_diversity_score_existing_users' successfully logged as artifact in W&B.
2025-11-14 11:43:47,422 | film_recommender_cg.scorer | INFO | ### Average personalization score ('All'): 0.736 ###
2025-11-14 11:43:47,976 | film_recommender_cg.scorer | INFO | R² for Personalization vs. Films Rated: 0.006
2025-11-14 11:43:47,986 | film_recommender_cg.scorer | INFO | Pearson correlation for Personalization vs. Films Rated: 0.077
2025-11-14 11:43:49,343 | film_recommender_cg.scorer | INFO | 'scoring_avg_personalization_score_all_users' successfully logged as artifact in W&B.
2025-11-14 11:43:49,357 | film_recommender_cg.scorer | INFO | ### Average personalization score ('New'): 0.013 ###
2025-11-14 11:43:49,757 | film_recommender_cg.scorer | INFO | R² for Personalization vs. Films Rated: 0.237
2025-11-14 11:43:49,761 | film_recommender_cg.scorer | INFO | Pearson correlation for Personalization vs. Films Rated: 0.486
