2025-11-19 09:29:51,632 | film_recommender_cg.scorer | INFO | Science Fiction = 6.3
2025-11-19 09:29:51,634 | film_recommender_cg.scorer | INFO | History = 6.1
2025-11-19 09:29:51,637 | film_recommender_cg.scorer | INFO | Mystery = 8.9
2025-11-19 09:29:51,638 | film_recommender_cg.scorer | INFO | Drama = 68.9
2025-11-19 09:29:51,640 | film_recommender_cg.scorer | INFO | Music = 3.8
2025-11-19 09:29:51,641 | film_recommender_cg.scorer | INFO | Western = 3.4
2025-11-19 09:29:51,643 | film_recommender_cg.scorer | INFO | Animation = 1.9
2025-11-19 09:29:51,646 | film_recommender_cg.scorer | INFO | TV Movie = 0.0
2025-11-19 09:29:51,649 | film_recommender_cg.scorer | INFO | Foreign = 2.2
2025-11-19 09:29:51,651 | film_recommender_cg.scorer | INFO | Romance = 18.9
2025-11-19 09:29:51,654 | film_recommender_cg.scorer | INFO | Adventure = 9.2
2025-11-19 09:29:51,656 | film_recommender_cg.scorer | INFO | War = 9.7
2025-11-19 09:29:51,661 | film_recommender_cg.scorer | INFO | Thriller = 19.0
2025-11-19 09:29:51,664 | film_recommender_cg.scorer | INFO | Undisclosed = 0.1
2025-11-19 09:29:51,666 | film_recommender_cg.scorer | INFO | Fantasy = 5.5
2025-11-19 09:29:51,670 | film_recommender_cg.scorer | INFO | Family = 3.9
2025-11-19 09:29:52,936 | film_recommender_cg.scorer | INFO | 'scoring_genre_avg_count_in_top_n_recs_all_users' successfully logged as artifact in W&B.
2025-11-19 09:29:53,820 | film_recommender_cg.scorer | INFO | ### Genre average counts in top 100 recommendations (new users): ###
2025-11-19 09:29:53,822 | film_recommender_cg.scorer | INFO | Action = 30.6
2025-11-19 09:29:53,825 | film_recommender_cg.scorer | INFO | Horror = 4.0
2025-11-19 09:29:53,826 | film_recommender_cg.scorer | INFO | Documentary = 0.0
2025-11-19 09:29:53,830 | film_recommender_cg.scorer | INFO | Comedy = 25.0
2025-11-19 09:29:53,833 | film_recommender_cg.scorer | INFO | Crime = 19.2
2025-11-19 09:29:53,837 | film_recommender_cg.scorer | INFO | Science Fiction = 20.6
2025-11-19 09:29:53,842 | film_recommender_cg.scorer | INFO | History = 3.9
2025-11-19 09:29:53,847 | film_recommender_cg.scorer | INFO | Mystery = 8.9
2025-11-19 09:29:53,850 | film_recommender_cg.scorer | INFO | Drama = 43.4
2025-11-19 09:29:53,853 | film_recommender_cg.scorer | INFO | Music = 1.0
2025-11-19 09:29:53,855 | film_recommender_cg.scorer | INFO | Western = 1.0
2025-11-19 09:29:53,857 | film_recommender_cg.scorer | INFO | Animation = 6.9
2025-11-19 09:29:53,861 | film_recommender_cg.scorer | INFO | TV Movie = 0.0
2025-11-19 09:29:53,862 | film_recommender_cg.scorer | INFO | Foreign = 0.0
2025-11-19 09:29:53,867 | film_recommender_cg.scorer | INFO | Romance = 14.6
