2025-11-18 10:47:18,702 | film_recommender_cg.scorer | INFO | Comedy = 31.3
2025-11-18 10:47:18,704 | film_recommender_cg.scorer | INFO | War = 5.4
2025-11-18 10:47:18,708 | film_recommender_cg.scorer | INFO | Science Fiction = 5.0
2025-11-18 10:47:18,710 | film_recommender_cg.scorer | INFO | Crime = 13.3
2025-11-18 10:47:18,714 | film_recommender_cg.scorer | INFO | Thriller = 17.6
2025-11-18 10:47:18,716 | film_recommender_cg.scorer | INFO | Documentary = 4.9
2025-11-18 10:47:18,719 | film_recommender_cg.scorer | INFO | Foreign = 2.5
2025-11-18 10:47:18,721 | film_recommender_cg.scorer | INFO | Undisclosed = 0.0
2025-11-18 10:47:18,723 | film_recommender_cg.scorer | INFO | TV Movie = 0.2
2025-11-18 10:47:18,725 | film_recommender_cg.scorer | INFO | History = 5.7
2025-11-18 10:47:18,728 | film_recommender_cg.scorer | INFO | Horror = 7.9
2025-11-18 10:47:18,729 | film_recommender_cg.scorer | INFO | Romance = 22.1
2025-11-18 10:47:18,731 | film_recommender_cg.scorer | INFO | Adventure = 6.4
2025-11-18 10:47:18,735 | film_recommender_cg.scorer | INFO | Mystery = 9.1
2025-11-18 10:47:18,738 | film_recommender_cg.scorer | INFO | Music = 4.8
2025-11-18 10:47:18,740 | film_recommender_cg.scorer | INFO | Animation = 1.8
2025-11-18 10:47:19,799 | film_recommender_cg.scorer | INFO | 'scoring_genre_avg_count_in_top_n_recs_all_users' successfully logged as artifact in W&B.
2025-11-18 10:47:19,963 | film_recommender_cg.scorer | INFO | ### Genre average counts in top 100 recommendations (new users): ###
2025-11-18 10:47:19,970 | film_recommender_cg.scorer | INFO | Fantasy = 16.0
2025-11-18 10:47:19,978 | film_recommender_cg.scorer | INFO | Drama = 52.2
2025-11-18 10:47:19,990 | film_recommender_cg.scorer | INFO | Action = 26.9
2025-11-18 10:47:20,004 | film_recommender_cg.scorer | INFO | Western = 2.0
2025-11-18 10:47:20,016 | film_recommender_cg.scorer | INFO | Family = 13.7
2025-11-18 10:47:20,020 | film_recommender_cg.scorer | INFO | Comedy = 24.7
2025-11-18 10:47:20,022 | film_recommender_cg.scorer | INFO | War = 7.0
2025-11-18 10:47:20,025 | film_recommender_cg.scorer | INFO | Science Fiction = 19.3
2025-11-18 10:47:20,035 | film_recommender_cg.scorer | INFO | Crime = 20.7
2025-11-18 10:47:20,038 | film_recommender_cg.scorer | INFO | Thriller = 26.6
2025-11-18 10:47:20,041 | film_recommender_cg.scorer | INFO | Documentary = 0.0
2025-11-18 10:47:20,046 | film_recommender_cg.scorer | INFO | Foreign = 0.0
2025-11-18 10:47:20,054 | film_recommender_cg.scorer | INFO | Undisclosed = 0.0
2025-11-18 10:47:20,058 | film_recommender_cg.scorer | INFO | TV Movie = 0.0
2025-11-18 10:47:20,074 | film_recommender_cg.scorer | INFO | History = 4.7
2025-11-18 10:47:20,077 | film_recommender_cg.scorer | INFO | Horror = 4.0
2025-11-18 10:47:20,084 | film_recommender_cg.scorer | INFO | Romance = 11.9
2025-11-18 10:47:20,087 | film_recommender_cg.scorer | INFO | Adventure = 25.4
2025-11-18 10:47:20,090 | film_recommender_cg.scorer | INFO | Mystery = 9.9
2025-11-18 10:47:20,104 | film_recommender_cg.scorer | INFO | Music = 1.0
2025-11-18 10:47:20,107 | film_recommender_cg.scorer | INFO | Animation = 5.9
2025-11-18 10:47:21,238 | film_recommender_cg.scorer | INFO | 'scoring_genre_avg_count_in_top_n_recs_new_users' successfully logged as artifact in W&B.
2025-11-18 10:47:27,359 | film_recommender_cg.scorer | INFO | ### Genre average counts in top 100 recommendations (existing users): ###
2025-11-18 10:47:27,363 | film_recommender_cg.scorer | INFO | Fantasy = 4.1
2025-11-18 10:47:27,367 | film_recommender_cg.scorer | INFO | Drama = 66.1
2025-11-18 10:47:27,368 | film_recommender_cg.scorer | INFO | Action = 8.4
2025-11-18 10:47:27,370 | film_recommender_cg.scorer | INFO | Western = 3.5
2025-11-18 10:47:27,372 | film_recommender_cg.scorer | INFO | Family = 3.2
2025-11-18 10:47:27,375 | film_recommender_cg.scorer | INFO | Comedy = 31.4
2025-11-18 10:47:27,380 | film_recommender_cg.scorer | INFO | War = 5.3
2025-11-18 10:47:27,382 | film_recommender_cg.scorer | INFO | Science Fiction = 4.8
2025-11-18 10:47:27,384 | film_recommender_cg.scorer | INFO | Crime = 13.2
2025-11-18 10:47:27,386 | film_recommender_cg.scorer | INFO | Thriller = 17.5
2025-11-18 10:47:27,391 | film_recommender_cg.scorer | INFO | Documentary = 4.9
2025-11-18 10:47:27,393 | film_recommender_cg.scorer | INFO | Foreign = 2.5
2025-11-18 10:47:27,400 | film_recommender_cg.scorer | INFO | Undisclosed = 0.0
2025-11-18 10:47:27,406 | film_recommender_cg.scorer | INFO | TV Movie = 0.2
2025-11-18 10:47:27,408 | film_recommender_cg.scorer | INFO | History = 5.8
2025-11-18 10:47:27,410 | film_recommender_cg.scorer | INFO | Horror = 7.9
2025-11-18 10:47:27,412 | film_recommender_cg.scorer | INFO | Romance = 22.2
2025-11-18 10:47:27,414 | film_recommender_cg.scorer | INFO | Adventure = 6.1
2025-11-18 10:47:27,416 | film_recommender_cg.scorer | INFO | Mystery = 9.1
2025-11-18 10:47:27,420 | film_recommender_cg.scorer | INFO | Music = 4.8
2025-11-18 10:47:27,423 | film_recommender_cg.scorer | INFO | Animation = 1.8
2025-11-18 10:47:28,713 | film_recommender_cg.scorer | INFO | 'scoring_genre_avg_count_in_top_n_recs_existing_users' successfully logged as artifact in W&B.
2025-11-18 10:47:28,750 | film_recommender_cg.scorer | INFO | Evaluating model performance on new (simulated) data...
2025-11-18 10:47:28,763 | film_recommender_cg.scorer | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('All' users): ###
2025-11-18 10:47:28,770 | film_recommender_cg.scorer | INFO | Overall rmse = 0.546
2025-11-18 10:47:28,776 | film_recommender_cg.scorer | INFO | Overall r-squared = 0.27
2025-11-18 10:47:28,786 | film_recommender_cg.scorer | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('All' users): ###
2025-11-18 10:47:28,808 | film_recommender_cg.scorer | INFO | 'Fantasy' rmse = 0.582
2025-11-18 10:47:28,818 | film_recommender_cg.scorer | INFO | 'Fantasy' r-squared = 0.127
2025-11-18 10:47:28,835 | film_recommender_cg.scorer | INFO | 'Drama' rmse = 0.541
2025-11-18 10:47:28,839 | film_recommender_cg.scorer | INFO | 'Drama' r-squared = 0.28
2025-11-18 10:47:28,852 | film_recommender_cg.scorer | INFO | 'Action' rmse = 0.696
2025-11-18 10:47:28,856 | film_recommender_cg.scorer | INFO | 'Action' r-squared = -0.187
2025-11-18 10:47:28,876 | film_recommender_cg.scorer | INFO | 'Western' rmse = 0.588
2025-11-18 10:47:28,880 | film_recommender_cg.scorer | INFO | 'Western' r-squared = 0.182
